pair,type,image_a,image_b,building_a,building_b,distance
1,positive,raw_datasets_terracepacels\siamese_terrace_15\IMG20260423175026.jpg,raw_datasets_terracepacels\siamese_terrace_15\IMG20260423175031.jpg,siamese_terrace_15,siamese_terrace_15,0.287974
2,positive,raw_datasets_terracepacels\siamese_terrace_28\IMG20260423180419.jpg,raw_datasets_terracepacels\siamese_terrace_28\IMG20260423180423.jpg,siamese_terrace_28,siamese_terrace_28,0.297910
3,positive,raw_datasets_terracepacels\siamese_terrace_12\IMG20260423174717.jpg,raw_datasets_terracepacels\siamese_terrace_12\IMG20260423174731.jpg,siamese_terrace_12,siamese_terrace_12,0.302975
4,positive,raw_datasets_terracepacels\siamese_terrace_28\IMG20260423180423.jpg,raw_datasets_terracepacels\siamese_terrace_28\IMG20260423180439.jpg,siamese_terrace_28,siamese_terrace_28,0.317587
5,positive,raw_datasets_terracepacels\siamese_terrace_3\IMG20260423172535.jpg,raw_datasets_terracepacels\siamese_terrace_3\IMG20260423172551.jpg,siamese_terrace_3,siamese_terrace_3,0.328469
6,negative,raw_datasets_terracepacels\siamese_terrace_58\IMG20260424104154.jpg,raw_datasets_terracepacels\siamese_terrace_76\IMG20260424111044.jpg,siamese_terrace_58,siamese_terrace_76,1.800867
7,negative,raw_datasets_terracepacels\siamese_terrace_30\IMG20260423181013.jpg,raw_datasets_terracepacels\siamese_terrace_53\IMG20260424103106.jpg,siamese_terrace_30,siamese_terrace_53,1.790889
8,negative,raw_datasets_terracepacels\siamese_terrace_30\IMG20260423181013.jpg,raw_datasets_terracepacels\siamese_terrace_52\IMG20260424103008.jpg,siamese_terrace_30,siamese_terrace_52,1.783503
9,negative,raw_datasets_terracepacels\siamese_terrace_58\IMG20260424104154.jpg,raw_datasets_terracepacels\siamese_terrace_70\IMG20260424110435.jpg,siamese_terrace_58,siamese_terrace_70,1.773960
10,negative,raw_datasets_terracepacels\siamese_terrace_15\IMG20260423175038.jpg,raw_datasets_terracepacels\siamese_terrace_44\IMG20260424101815.jpg,siamese_terrace_15,siamese_terrace_44,1.762111
